Country or region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Generosity
Switzerland,7.587,1.39651,0.94143,0.66557,0.29678
Iceland,7.561,1.30232,0.94784,0.62877,0.4363
Denmark,7.527,1.32548,0.87464,0.64938,0.34139
Norway,7.522,1.459,0.88521,0.66973,0.34699
Canada,7.427,1.32629,0.90563,0.63297,0.45811
Finland,7.406,1.29025,0.88911,0.64169,0.23351
Netherlands,7.378,1.32944,0.89284,0.61576,0.4761
Sweden,7.364,1.33171,0.91087,0.6598,0.36262
New Zealand,7.286,1.25018,0.90837,0.63938,0.47501
Australia,7.284,1.33358,0.93156,0.65124,0.43562
Israel,7.278,1.22857,0.91387,0.41319,0.33172
Costa Rica,7.226,0.95578,0.86027,0.63376,0.25497
Austria,7.2,1.33723,0.89042,0.62433,0.33088
Mexico,7.187,1.02054,0.81444,0.48181,0.14074
United States,7.119,1.39451,0.86179,0.54604,0.40105
Brazil,6.983,0.98124,0.69702,0.49049,0.14574
Luxembourg,6.946,1.56391,0.91894,0.61583,0.28034
Ireland,6.94,1.33596,0.89533,0.61777,0.45901
Belgium,6.937,1.30782,0.89667,0.5845,0.2225
United Arab Emirates,6.901,1.42727,0.80925,0.64157,0.26428
United Kingdom,6.867,1.26637,0.90943,0.59625,0.51912
Oman,6.853,1.36011,0.76276,0.63274,0.21542
Venezuela,6.81,1.04424,0.72052,0.42908,0.05841
Singapore,6.798,1.52186,1.02525,0.54252,0.31105
Panama,6.786,1.06353,0.79661,0.5421,0.24434
Germany,6.75,1.32792,0.89186,0.61477,0.28214
Chile,6.67,1.10715,0.85857,0.44132,0.33363
Qatar,6.611,1.69042,0.79733,0.6404,0.32573
France,6.575,1.27778,0.94579,0.55011,0.12332
Argentina,6.574,1.05351,0.78723,0.44974,0.11451
Czech Republic,6.505,1.17898,0.84483,0.46364,0.10686
Uruguay,6.485,1.06166,0.8116,0.60362,0.2324
Colombia,6.477,0.91861,0.69077,0.53466,0.18401
Thailand,6.455,0.9669,0.7385,0.55664,0.5763
Saudi Arabia,6.411,1.39541,0.72025,0.31048,0.13706
Spain,6.329,1.23011,0.95562,0.45951,0.18227
Malta,6.302,1.2074,0.88721,0.60365,0.51752
Taiwan,6.298,1.29098,0.8753,0.3974,0.25376
Kuwait,6.295,1.55422,0.72492,0.55499,0.16228
Suriname,6.269,0.99534,0.6082,0.59657,0.16991
Trinidad and Tobago,6.168,1.21183,0.61483,0.55884,0.31844
El Salvador,6.13,0.76454,0.67737,0.4035,0.10692
Guatemala,6.123,0.74553,0.64425,0.57733,0.27489
Uzbekistan,6.003,0.63244,0.59772,0.65821,0.22837
Slovakia,5.995,1.16891,0.78902,0.31751,0.16893
Japan,5.987,1.27074,0.99111,0.49615,0.10705
South Korea,5.984,1.24461,0.96538,0.33208,0.18557
Ecuador,5.975,0.86402,0.79075,0.48574,0.11541
Bahrain,5.96,1.32376,0.74716,0.45492,0.17362
Italy,5.948,1.25114,0.95446,0.26236,0.22823
Bolivia,5.89,0.68133,0.5392,0.57414,0.20536
Moldova,5.889,0.59448,0.61826,0.32818,0.20951
Paraguay,5.878,0.75985,0.66098,0.53899,0.3424
Kazakhstan,5.855,1.12254,0.64368,0.51649,0.11827
Slovenia,5.848,1.18498,0.87337,0.60855,0.25328
Lithuania,5.833,1.14723,0.73128,0.21342,0.02641
Nicaragua,5.828,0.59325,0.74314,0.55475,0.27815
Peru,5.824,0.90019,0.73017,0.41496,0.14982
Belarus,5.813,1.03192,0.73608,0.37938,0.11046
Poland,5.791,1.12555,0.77903,0.53122,0.16759
Malaysia,5.77,1.12486,0.72394,0.53024,0.33075
Croatia,5.759,1.08254,0.78805,0.25883,0.05444
Libya,5.754,1.13145,0.7038,0.41668,0.18295
Russia,5.716,1.13764,0.66926,0.36679,0.00199
Jamaica,5.709,0.81038,0.68741,0.50442,0.2123
North Cyprus,5.695,1.20806,0.92356,0.49027,0.26169
Cyprus,5.689,1.20813,0.92356,0.40672,0.30638
Algeria,5.605,0.93929,0.61766,0.28579,0.07822
Kosovo,5.589,0.80148,0.63132,0.24749,0.2831
Turkmenistan,5.548,0.95847,0.53886,0.4761,0.16979
Mauritius,5.477,1.00761,0.7095,0.56066,0.37744
Hong Kong,5.474,1.38604,1.01328,0.59608,0.39478
Estonia,5.429,1.15174,0.77361,0.44888,0.0868
Indonesia,5.399,0.82827,0.63793,0.46611,0.51535
Vietnam,5.36,0.63216,0.74676,0.59444,0.1686
Turkey,5.332,1.06098,0.73172,0.22815,0.12253
Kyrgyzstan,5.286,0.47428,0.65088,0.43477,0.3003
Nigeria,5.268,0.65435,0.16007,0.34334,0.27233
Bhutan,5.253,0.77042,0.57407,0.53206,0.47998
Azerbaijan,5.212,1.02389,0.64045,0.3703,0.07799
Pakistan,5.194,0.59543,0.51466,0.12102,0.33671
Jordan,5.192,0.90198,0.69639,0.40661,0.11053
Montenegro,5.192,0.97438,0.72521,0.1826,0.1614
China,5.14,0.89012,0.81658,0.51697,0.08185
Zambia,5.129,0.47038,0.29924,0.48827,0.19591
Romania,5.124,1.04345,0.7689,0.35068,0.13748
Serbia,5.123,0.92053,0.74836,0.20107,0.19231
Portugal,5.102,1.15991,0.87519,0.51469,0.13719
Latvia,5.098,1.11312,0.72437,0.29671,0.18226
Philippines,5.073,0.70532,0.58114,0.62545,0.24991
Somaliland region,5.057,0.18847,0.43873,0.46582,0.50318
Morocco,5.013,0.73479,0.60954,0.41691,0.07172
Macedonia,5.007,0.91851,0.73545,0.33457,0.22359
Mozambique,4.971,0.08308,0.09131,0.34037,0.22269
Albania,4.959,0.87867,0.81325,0.35733,0.14272
Bosnia and Herzegovina,4.949,0.83223,0.79081,0.09245,0.24808
Lesotho,4.898,0.37545,0.07612,0.31767,0.16388
Dominican Republic,4.885,0.89537,0.66825,0.57672,0.21684
Laos,4.876,0.59066,0.54909,0.59591,0.42192
Mongolia,4.874,0.82819,0.60268,0.43626,0.3323
Swaziland,4.867,0.71206,0.07566,0.30658,0.18259
Greece,4.857,1.15406,0.88213,0.07699,0
Lebanon,4.839,1.02564,0.83947,0.33916,0.21854
Hungary,4.8,1.12094,0.75905,0.32112,0.128
Honduras,4.788,0.59532,0.6951,0.40148,0.23027
Tajikistan,4.786,0.39047,0.57379,0.47216,0.22974
Tunisia,4.739,0.88113,0.73793,0.26268,0.06431
Palestinian Territories,4.715,0.59867,0.66015,0.24499,0.11251
Bangladesh,4.694,0.39753,0.60164,0.4082,0.21222
Iran,4.686,1.0088,0.69805,0.30033,0.38086
Ukraine,4.681,0.79907,0.6739,0.25123,0.15275
Iraq,4.677,0.98549,0.60237,0,0.17922
South Africa,4.642,0.92049,0.27688,0.33207,0.11973
Ghana,4.633,0.54558,0.40132,0.42342,0.23087
Zimbabwe,4.61,0.271,0.33475,0.25861,0.18987
Liberia,4.571,0.0712,0.34201,0.28531,0.24362
India,4.565,0.64499,0.51529,0.39786,0.26475
Sudan,4.55,0.52107,0.36878,0.10081,0.19062
Haiti,4.518,0.26673,0.38847,0.24425,0.46187
Congo (Kinshasa),4.517,0,0.09806,0.22605,0.24834
Nepal,4.514,0.35997,0.56874,0.38282,0.32296
Ethiopia,4.512,0.19073,0.44055,0.4345,0.24325
Sierra Leone,4.507,0.33024,0,0.4084,0.21488
Mauritania,4.436,0.45407,0.35874,0.24232,0.219
Kenya,4.419,0.36471,0.41435,0.42215,0.37542
Djibouti,4.369,0.44025,0.36291,0.46074,0.18093
Armenia,4.35,0.76821,0.7299,0.19847,0.07855
Botswana,4.332,0.99355,0.04776,0.49495,0.10461
Myanmar,4.307,0.27108,0.48246,0.44017,0.79588
Georgia,4.297,0.7419,0.72926,0.40577,0.05547
Malawi,4.292,0.01604,0.22562,0.43054,0.33128
Sri Lanka,4.271,0.83524,0.70806,0.53726,0.40828
Cameroon,4.252,0.4225,0.23402,0.49309,0.20618
Bulgaria,4.218,1.01216,0.76649,0.30587,0.11921
Egypt,4.194,0.8818,0.61712,0.17288,0.11291
Yemen,4.077,0.54649,0.40064,0.35571,0.09131
Angola,4.033,0.75778,0.16683,0.10384,0.12344
Mali,3.995,0.26074,0.20583,0.38857,0.18798
Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.12388
Comoros,3.956,0.23906,0.36315,0.22917,0.17441
Uganda,3.931,0.21102,0.33861,0.45727,0.29066
Senegal,3.904,0.36498,0.4354,0.36772,0.20843
Gabon,3.896,1.06024,0.43372,0.31914,0.06822
Niger,3.845,0.0694,0.29707,0.47692,0.19387
Cambodia,3.819,0.46038,0.61114,0.66246,0.40359
Tanzania,3.781,0.2852,0.38215,0.32878,0.34377
Madagascar,3.681,0.20824,0.46721,0.19184,0.21333
Central African Republic,3.678,0.0785,0.06699,0.48879,0.23835
Chad,3.667,0.34193,0.1501,0.23501,0.18386
Guinea,3.656,0.17417,0.24009,0.37725,0.28657
Ivory Coast,3.655,0.46534,0.15185,0.46866,0.20165
Burkina Faso,3.587,0.25812,0.27125,0.39493,0.21747
Afghanistan,3.575,0.31982,0.30335,0.23414,0.3651
Rwanda,3.465,0.22208,0.42864,0.59201,0.22628
Benin,3.34,0.28665,0.3191,0.4845,0.1826
Syria,3.006,0.6632,0.72193,0.15684,0.47179
Burundi,2.905,0.0153,0.22396,0.1185,0.19727
Togo,2.839,0.20868,0.28443,0.36453,0.16681
